yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1698189,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,6562,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,216001,16.3471243,47.8915271,19.569604022535763,12.47761721199581
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,636775,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2910974,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,151066,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,19502,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,133739,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1943,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,432153,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2014,2014,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9920963,16.3471243,47.8915271,,
