yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,9268,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1001,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,653,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,7084,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,241,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,31151,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,757981,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,231922,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,107188,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,11244,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,13465,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,98850,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,172016,29.2733964,47.4979476,,
2018,2018,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,73898,29.2733964,47.4979476,,
