yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,574909,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,106886,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,817493,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1048009,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,1278273,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,105713,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1403723,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,4204216,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,10549674,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,28377489,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,5087629,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,28332889,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,195793,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,2790837,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,36447098,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,World,World,483571666,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Afghanistan, Afghanistan,72114,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Algeria, Algeria,2487009,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Azerbaijan, Azerbaijan,6344207,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Comoros, Comoros,25713,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,1647784,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,1037986,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Georgia, Georgia,10524305,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,241947544,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Israel, Israel,5773607,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,1984798,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,235720,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,78498,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Libya, Libya,61129002,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,56980,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Mauritania, Mauritania,81851,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Morocco, Morocco,1327,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,22340,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,20705237,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,23433,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,4930260,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, State of Palestine, State of Palestine,121815,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,1331925,38.9597594,34.9249653,,
2005,2005,Export,Turkey,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,592400,38.9597594,34.9249653,,
