yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,628392,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,4259,31.1667049,36.941628,6.06272746187266,22.727528470146083
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,823478,31.1667049,36.941628,26.42921218083572,52.86847103284948
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7211509,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,7604,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,2171019,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,8444,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,296532,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,1125,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,6537,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2229916,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,240163,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,193914,31.1667049,36.941628,,
2011,2011,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,54938,31.1667049,36.941628,,
