yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,401741,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,9170,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,25,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,380550,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,29103,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1538910,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,7021491,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1657,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2398252,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,1228,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,8345,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1892090,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,World,World,20917926,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,98638,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Georgia, Georgia,2012,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Israel, Israel,56717,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,306101,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,2078608,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,734023,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,22026,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,127034,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,1317517,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,2368650,34.9823018,33.1451285,,
2002,2002,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,119616,34.9823018,33.1451285,,
