yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,50,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,1507,25.3336984,51.2295295,,
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,4482,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,11823,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,301,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,201863,25.3336984,51.2295295,,
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,11538,25.3336984,51.2295295,,
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,54945,25.3336984,51.2295295,,
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,60947,25.3336984,51.2295295,,
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,17176,25.3336984,51.2295295,,
2007,2007,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,39094,25.3336984,51.2295295,,
