yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,11717,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,57212,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,23912,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,12114,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,7348639,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,275636,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,846538,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1422500,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,62330,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1283870,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,23425616,21.0000287,57.0036901,,
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,281204,21.0000287,57.0036901,,
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,1960390,21.0000287,57.0036901,,
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,60302,21.0000287,57.0036901,,
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,68008,21.0000287,57.0036901,,
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,5274,21.0000287,57.0036901,,
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,8409417,21.0000287,57.0036901,,
2007,2007,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,3938,21.0000287,57.0036901,,
