yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2005,2005.0,Export,Jordan,World,35.0,Albuminoidal substances; modified starches; glues; enzymes,5460801.0,,31.1667049,36.941628,-36.8535712,174.7456809
2005,2005.0,Export,Jordan,Cyprus,35.0,Albuminoidal substances; modified starches; glues; enzymes,2884.0,,31.1667049,36.941628,34.9823018,33.1451285
2005,2005.0,Export,Jordan,Ethiopia,35.0,Albuminoidal substances; modified starches; glues; enzymes,999235.0,,31.1667049,36.941628,10.2116702,38.6521203
2005,2005.0,Export,Jordan,State of Palestine,35.0,Albuminoidal substances; modified starches; glues; enzymes,175400.0,,31.1667049,36.941628,31.46242095,34.262716572130714
2005,2005.0,Export,Jordan,Germany,35.0,Albuminoidal substances; modified starches; glues; enzymes,31.0,,31.1667049,36.941628,51.1638175,10.4478313
2005,2005.0,Export,Jordan,Iraq,35.0,Albuminoidal substances; modified starches; glues; enzymes,1391643.0,,31.1667049,36.941628,33.0955793,44.1749775
2005,2005.0,Export,Jordan,Kuwait,35.0,Albuminoidal substances; modified starches; glues; enzymes,23875.0,,31.1667049,36.941628,29.2733964,47.4979476
2005,2005.0,Export,Jordan,Lebanon,35.0,Albuminoidal substances; modified starches; glues; enzymes,629229.0,,31.1667049,36.941628,33.8750629,35.843409
2005,2005.0,Export,Jordan,Libya,35.0,Albuminoidal substances; modified starches; glues; enzymes,40000.0,,31.1667049,36.941628,26.8234472,18.1236723
2005,2005.0,Export,Jordan,Nigeria,35.0,Albuminoidal substances; modified starches; glues; enzymes,42100.0,,31.1667049,36.941628,9.6000359,7.9999721
2005,2005.0,Export,Jordan,Qatar,35.0,Albuminoidal substances; modified starches; glues; enzymes,72264.0,,31.1667049,36.941628,25.3336984,51.2295295
2005,2005.0,Export,Jordan,Saudi Arabia,35.0,Albuminoidal substances; modified starches; glues; enzymes,568255.0,,31.1667049,36.941628,25.6242618,42.3528328
2005,2005.0,Export,Jordan,India,35.0,Albuminoidal substances; modified starches; glues; enzymes,282586.0,,31.1667049,36.941628,22.3511148,78.6677428
2005,2005.0,Export,Jordan,Fmr Sudan,35.0,Albuminoidal substances; modified starches; glues; enzymes,95766.0,,31.1667049,36.941628,18.046398,34.41288
2005,2005.0,Export,Jordan,Syria,35.0,Albuminoidal substances; modified starches; glues; enzymes,320510.0,,31.1667049,36.941628,34.6401861,39.0494106
2005,2005.0,Export,Jordan,United Arab Emirates,35.0,Albuminoidal substances; modified starches; glues; enzymes,381345.0,,31.1667049,36.941628,24.0002488,53.9994829
2005,2005.0,Export,Jordan,Uganda,35.0,Albuminoidal substances; modified starches; glues; enzymes,20785.0,,31.1667049,36.941628,1.5333554,32.2166578
2005,2005.0,Export,Jordan,Egypt,35.0,Albuminoidal substances; modified starches; glues; enzymes,51906.0,,31.1667049,36.941628,26.2540493,29.2675469
2005,2005.0,Export,Jordan,United Kingdom,35.0,Albuminoidal substances; modified starches; glues; enzymes,17680.0,,31.1667049,36.941628,54.7023545,-3.2765753
2005,2005.0,Export,Jordan,United Rep. of Tanzania,35.0,Albuminoidal substances; modified starches; glues; enzymes,125670.0,,31.1667049,36.941628,,
2005,2005.0,Export,Jordan,Free Zones,35.0,Albuminoidal substances; modified starches; glues; enzymes,154433.0,,31.1667049,36.941628,5.57675525,-0.1653113957934536
2005,2005.0,Export,Jordan,Yemen,35.0,Albuminoidal substances; modified starches; glues; enzymes,65204.0,,31.1667049,36.941628,16.3471243,47.8915271
