rtTitle,Subregion,rgDesc,TradeValue
Pakistan,Afghanistan,Export,480608953
Pakistan,Afghanistan,Import,46876247
Pakistan,Afghanistan,Re-Export,787
Pakistan,Algeria,Export,7813085
Pakistan,Algeria,Import,595569
Pakistan,Algeria,Re-Export,289405
Pakistan,Armenia,Export,264628
Pakistan,Armenia,Import,21702
Pakistan,Azerbaijan,Export,1392194
Pakistan,Azerbaijan,Import,190295
Pakistan,Bahrain,Export,37789410
Pakistan,Bahrain,Import,73489906
Pakistan,Bahrain,Re-Export,195436
Pakistan,Bahrain,Re-Import,911
Pakistan,Comoros,Export,3584242
Pakistan,Comoros,Import,21270
Pakistan,Cyprus,Export,7726797
Pakistan,Cyprus,Import,1380759
Pakistan,Cyprus,Re-Export,8156
Pakistan,Djibouti,Export,3010840
Pakistan,Djibouti,Import,945968
Pakistan,Georgia,Export,680634
Pakistan,Georgia,Import,303
Pakistan,Georgia,Re-Export,4926
Pakistan,Iraq,Export,935890450
Pakistan,Iraq,Import,1216807054
Pakistan,Iraq,Re-Export,50026861
Pakistan,Iraq,Re-Import,3768575
Pakistan,Jordan,Export,21652845
Pakistan,Jordan,Import,28038795
Pakistan,Jordan,Re-Export,14526
Pakistan,Kuwait,Export,71729098
Pakistan,Kuwait,Import,979187653
Pakistan,Kuwait,Re-Export,729197
Pakistan,Kuwait,Re-Import,28456
Pakistan,Lebanon,Export,13137732
Pakistan,Lebanon,Import,2246277
Pakistan,Lebanon,Re-Import,4861
Pakistan,Libya,Export,2644149
Pakistan,Libya,Import,145910
Pakistan,Malta,Export,3558366
Pakistan,Malta,Import,9893005
Pakistan,Mauritania,Export,3238807
Pakistan,Mauritania,Import,776
Pakistan,Morocco,Export,16692669
Pakistan,Morocco,Import,60692048
Pakistan,Oman,Export,51529809
Pakistan,Oman,Import,15145829
Pakistan,Oman,Re-Export,2127310
Pakistan,Oman,Re-Import,10306
Pakistan,Qatar,Export,39652412
Pakistan,Qatar,Import,96649702
Pakistan,Qatar,Re-Export,2510196
Pakistan,Saudi Arabia,Export,353038605
Pakistan,Saudi Arabia,Import,1757748725
Pakistan,Saudi Arabia,Re-Export,8534924
Pakistan,Saudi Arabia,Re-Import,52532
Pakistan,United Arab Emirates,Export,48455034
Pakistan,United Arab Emirates,Import,471362169
Pakistan,United Arab Emirates,Re-Export,133889
Pakistan,United Arab Emirates,Re-Import,57523
Pakistan,Yemen,Export,50171793
Pakistan,Yemen,Import,8481285
Pakistan,Yemen,Re-Export,14747
