yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2017,2017.0,Export,Algeria,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",153310.0,,28.0000272,2.9999825,-36.8535712,174.7456809
2017,2017.0,Export,Algeria,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10476.0,,28.0000272,2.9999825,50.6402809,4.6667145
2017,2017.0,Export,Algeria,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24953.0,,28.0000272,2.9999825,35.000074,104.999927
2017,2017.0,Export,Algeria,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24.0,,28.0000272,2.9999825,46.603354,1.8883335
2017,2017.0,Export,Algeria,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27654.0,,28.0000272,2.9999825,51.1638175,10.4478313
2017,2017.0,Export,Algeria,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87.0,,28.0000272,2.9999825,32.6475314,54.5643516
2017,2017.0,Export,Algeria,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",509.0,,28.0000272,2.9999825,,
2017,2017.0,Export,Algeria,Mauritania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",44270.0,,28.0000272,2.9999825,20.2540382,-9.2399263
2017,2017.0,Export,Algeria,Niger,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",47.0,,28.0000272,2.9999825,17.7356214,9.3238432
2017,2017.0,Export,Algeria,Romania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",281.0,,28.0000272,2.9999825,45.9852129,24.6859225
2017,2017.0,Export,Algeria,Senegal,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",110.0,,28.0000272,2.9999825,14.4750607,-14.4529612
2017,2017.0,Export,Algeria,India,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",135.0,,28.0000272,2.9999825,22.3511148,78.6677428
2017,2017.0,Export,Algeria,Spain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",828.0,,28.0000272,2.9999825,39.3260685,-4.8379791
2017,2017.0,Export,Algeria,Thailand,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",64.0,,28.0000272,2.9999825,14.8971921,100.83273
2017,2017.0,Export,Algeria,Tunisia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5482.0,,28.0000272,2.9999825,33.8439408,9.400138
2017,2017.0,Export,Algeria,United Kingdom,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10783.0,,28.0000272,2.9999825,54.7023545,-3.2765753
2017,2017.0,Export,Algeria,USA,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27600.0,,28.0000272,2.9999825,39.7837304,-100.445882
