yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,469,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1336,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,91,32.3293809,-83.1137366,17.925141963241547,-78.01492950057497
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Micronesia,Oceania,430,32.3293809,-83.1137366,6.418559504495792,157.6364476938912
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,858,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,118,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,56914,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,35,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,598,32.3293809,-83.1137366,6.06272746187266,22.727528470146083
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,148,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,366,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;,World,World,742290,32.3293809,-83.1137366,,
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;, Armenia, Armenia,144000,32.3293809,-83.1137366,,
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;, Azerbaijan, Azerbaijan,534100,32.3293809,-83.1137366,,
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,2695,32.3293809,-83.1137366,,
2006,2006,Export,Georgia,4,Dairy produce; birds eggs; natural honey;, Malta, Malta,130,32.3293809,-83.1137366,,
