yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,53,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,158941,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,108016,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,1213,16.3471243,47.8915271,19.569604022535763,12.47761721199581
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,10250,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,330896,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,100155,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1835362,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,14065,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,541221,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2006,2006,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,World,World,9893303,16.3471243,47.8915271,,
