yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,3104199,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,40384,30.3308401,71.247499,37.977378106878206,73.97804075806764
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,251333,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,213957,30.3308401,71.247499,59.36075159783851,25.01346951967388
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,4027070,30.3308401,71.247499,10.528384761701911,103.08333472012376
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,11709112,30.3308401,71.247499,25.499703063807168,75.5024015339642
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,202006,30.3308401,71.247499,40.12399607988535,20.742583178432696
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,9259577,30.3308401,71.247499,6.06272746187266,22.727528470146083
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,12986,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,166426,30.3308401,71.247499,47.92172048214207,7.866753258497997
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,367512816,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Afghanistan, Afghanistan,228506473,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,316366,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Comoros, Comoros,30245,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,1638,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Djibouti, Djibouti,315181,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,111765,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,37640,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,87248,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,1185331,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,37082,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,106748038,30.3308401,71.247499,,
2011,2011,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,432039,30.3308401,71.247499,,
