yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Kuwait,World,45,Cork and articles of cork,117656,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,World,45,Cork and articles of cork,72001,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,World,45,Cork and articles of cork,22125,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,World,45,Cork and articles of cork,15319,,,-36.8535712,174.7456809
2016,2016,Export,Oman,World,45,Cork and articles of cork,942691,,,-36.8535712,174.7456809
2017,2017,Export,Oman,World,45,Cork and articles of cork,820600,,,-36.8535712,174.7456809
2018,2018,Export,Oman,World,45,Cork and articles of cork,701739,,,-36.8535712,174.7456809
2019,2019,Export,Oman,World,45,Cork and articles of cork,364733,,,-36.8535712,174.7456809
2020,2020,Export,Oman,World,45,Cork and articles of cork,467966,,,-36.8535712,174.7456809
2021,2021,Export,Oman,World,45,Cork and articles of cork,1817014,,,-36.8535712,174.7456809
2016,2016,Export,Qatar,World,45,Cork and articles of cork,32450,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Export,Qatar,World,45,Cork and articles of cork,373557,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Export,Qatar,World,45,Cork and articles of cork,313717,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Export,Qatar,World,45,Cork and articles of cork,50786,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Export,Qatar,World,45,Cork and articles of cork,120921,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,World,45,Cork and articles of cork,2135456,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,World,45,Cork and articles of cork,7755149,,,-36.8535712,174.7456809
2019,2019,Export,Saudi Arabia,World,45,Cork and articles of cork,5794542,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,World,45,Cork and articles of cork,3673966,,,-36.8535712,174.7456809
2016,2016,Export,Turkey,World,45,Cork and articles of cork,432293,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Export,Turkey,World,45,Cork and articles of cork,627658,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Export,Turkey,World,45,Cork and articles of cork,634832,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Turkey,World,45,Cork and articles of cork,647984,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Export,Turkey,World,45,Cork and articles of cork,804319,38.9597594,34.9249653,-36.8535712,174.7456809
