,rtTitle,ptTitle,rgDesc,TradeValue
0,Georgia,Afghanistan,Export,942744.0
1,Georgia,Afghanistan,Import,3295.0
2,Georgia,Armenia,Export,123911988.0
3,Georgia,Armenia,Import,70560330.0
4,Georgia,Azerbaijan,Export,202877169.0
5,Georgia,Azerbaijan,Import,604860378.0
6,Georgia,Bahrain,Import,6243.0
7,Georgia,Cyprus,Export,3197303.0
8,Georgia,Cyprus,Import,2939496.0
9,Georgia,Fmr Sudan,Export,1111266.0
10,Georgia,Fmr Sudan,Import,289000.0
11,Georgia,Iraq,Export,2572649.0
12,Georgia,Iraq,Import,2594.0
13,Georgia,Israel,Export,2954113.0
14,Georgia,Israel,Import,36292793.0
15,Georgia,Jordan,Import,1135910.0
16,Georgia,Kuwait,Export,3873.0
17,Georgia,Kuwait,Import,1804575.0
18,Georgia,Lebanon,Export,4189.0
19,Georgia,Lebanon,Import,580347.0
20,Georgia,Libya,Export,92020.0
21,Georgia,Libya,Import,6835.0
22,Georgia,Malta,Import,3964680.0
23,Georgia,Morocco,Import,369556.0
24,Georgia,Oman,Import,3516543.0
25,Georgia,Pakistan,Export,117287.0
26,Georgia,Pakistan,Import,129929.0
27,Georgia,Qatar,Export,527955.0
28,Georgia,Qatar,Import,63291.0
29,Georgia,Saudi Arabia,Import,153130.0
30,Georgia,Syria,Export,14617.0
31,Georgia,Syria,Import,5774315.0
32,Georgia,Turkey,Export,262832471.0
33,Georgia,Turkey,Import,898019361.0
34,Georgia,United Arab Emirates,Export,11223123.0
35,Georgia,United Arab Emirates,Import,270281377.0
36,Georgia,World,Export,1490795814.0
37,Georgia,World,Import,5883227401.0
