yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,400,31.46242095,34.262716572130714,43.897683433510366,-100.08947125585888
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,29971,31.46242095,34.262716572130714,59.36075159783851,25.01346951967388
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,5520590,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,400,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Israel, Israel,5153680,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,235118,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,13464,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,6762,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,8622,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,15999,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,55134,31.46242095,34.262716572130714,,
2012,2012,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,1040,31.46242095,34.262716572130714,,
