yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Yemen,World,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",20566,,,-36.8535712,174.7456809
2018,2018,Export,Yemen,"Other Asia, nes",84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1998,,,,
2018,2018,Export,Yemen,United Arab Emirates,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",18568,,,24.0002488,53.9994829
