yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,17024,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,483,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,150,21.0000287,57.0036901,,
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,15,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,23255,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,132834,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,3159,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,20730,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,26166,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3892974,21.0000287,57.0036901,,
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,842,21.0000287,57.0036901,,
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,124072,21.0000287,57.0036901,,
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,5508,21.0000287,57.0036901,,
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,1128556,21.0000287,57.0036901,,
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,167068,21.0000287,57.0036901,,
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,538587,21.0000287,57.0036901,,
2020,2020,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,1671284,21.0000287,57.0036901,,
