yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,59251274,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,98934,25.6242618,42.3528328,39.89317229901691,61.060280637304274
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,3942405,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,54496068,25.6242618,42.3528328,51.67568633314729,27.673469819741847
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,10237346,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Melanesia,Oceania,50400,25.6242618,42.3528328,1.0108650891006263,147.3257485906919
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,5182940,25.6242618,42.3528328,19.569604022535763,12.47761721199581
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,1822935,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,16102687,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,5111739,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,8208544,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,6545075,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,537334,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,11241081,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,53031266,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2008,2008,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,380597542,25.6242618,42.3528328,,
