yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,917931,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,115295,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,5460014,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,115370,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,2544617,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,7872561,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Melanesia,Oceania,399406,38.9597594,34.9249653,1.0108650891006263,147.3257485906919
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,2307837,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,4970401,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Polynesia,Oceania,250205,38.9597594,34.9249653,-5.109184731250752,167.40343615892436
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,201045602,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,1016181,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,3033211,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,120795722,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,5635715,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,4204094,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,31615569,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,1098379709,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Afghanistan, Afghanistan,2374172,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Algeria, Algeria,4618919,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Azerbaijan, Azerbaijan,1309226,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,3494,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Comoros, Comoros,527703,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Cyprus, Cyprus,3689354,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Djibouti, Djibouti,4791848,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Georgia, Georgia,327751,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,492437869,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Israel, Israel,20900705,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,5433947,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,863131,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,1331584,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Libya, Libya,101348623,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Malta, Malta,36267,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Mauritania, Mauritania,1537618,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Morocco, Morocco,340366,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,11766311,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Pakistan, Pakistan,6226769,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,27969,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,12195203,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, State of Palestine, State of Palestine,10393062,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,10508293,38.9597594,34.9249653,,
2011,2011,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,2084057,38.9597594,34.9249653,,
