yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,28536,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,52538,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,228555,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,107210,25.6242618,42.3528328,,
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,38937,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,5581598,25.6242618,42.3528328,,
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,341099,25.6242618,42.3528328,,
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,1946852,25.6242618,42.3528328,,
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,903019,25.6242618,42.3528328,,
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Malta, Malta,387504,25.6242618,42.3528328,,
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,60539,25.6242618,42.3528328,,
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,321897,25.6242618,42.3528328,,
2009,2009,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,1034498,25.6242618,42.3528328,,
