yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,6064,-12.2045176,44.2832964,,
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,14365,-12.2045176,44.2832964,17.925141963241547,-78.01492950057497
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,209953,-12.2045176,44.2832964,59.36075159783851,25.01346951967388
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,760497,-12.2045176,44.2832964,10.528384761701911,103.08333472012376
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,22110,-12.2045176,44.2832964,40.12399607988535,20.742583178432696
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,843989,-12.2045176,44.2832964,6.06272746187266,22.727528470146083
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,53,-12.2045176,44.2832964,26.42921218083572,52.86847103284948
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1565529,-12.2045176,44.2832964,47.92172048214207,7.866753258497997
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,World,World,4729270,-12.2045176,44.2832964,,
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,909,-12.2045176,44.2832964,,
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,1189321,-12.2045176,44.2832964,,
2010,2010,Import,Comoros,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,5264,-12.2045176,44.2832964,,
