rtTitle,Subregion,rgDesc,TradeValue
Georgia,Afghanistan,Export,308764
Georgia,Afghanistan,Re-Export,301942
Georgia,Algeria,Export,288165
Georgia,Algeria,Import,9761
Georgia,Armenia,Export,165615487
Georgia,Armenia,Import,66253613
Georgia,Armenia,Re-Export,82314797
Georgia,Armenia,Re-Import,61694
Georgia,Azerbaijan,Export,230681800
Georgia,Azerbaijan,Import,525032113
Georgia,Azerbaijan,Re-Export,144819724
Georgia,Azerbaijan,Re-Import,168800
Georgia,Bahrain,Export,54577
Georgia,Bahrain,Import,171
Georgia,Bahrain,Re-Export,16288
Georgia,Cyprus,Export,428539
Georgia,Cyprus,Import,2842185
Georgia,Iraq,Export,9998723
Georgia,Iraq,Import,2453816
Georgia,Iraq,Re-Export,1861367
Georgia,Iraq,Re-Import,745
Georgia,Israel,Export,5468653
Georgia,Israel,Import,17776716
Georgia,Israel,Re-Export,2018407
Georgia,Israel,Re-Import,77989
Georgia,Jordan,Export,7388346
Georgia,Jordan,Import,236913
Georgia,Kuwait,Export,37290
Georgia,Kuwait,Import,157915
Georgia,Lebanon,Export,5293694
Georgia,Lebanon,Import,1472066
Georgia,Lebanon,Re-Export,1226679
Georgia,Libya,Export,2247023
Georgia,Libya,Re-Export,1824473
Georgia,Malta,Export,267908
Georgia,Malta,Import,1893362
Georgia,Morocco,Import,249520
Georgia,Oman,Import,8915
Georgia,Pakistan,Export,413160
Georgia,Pakistan,Import,4037963
Georgia,Pakistan,Re-Export,236224
Georgia,Qatar,Export,1460
Georgia,Qatar,Import,34118
Georgia,Saudi Arabia,Export,4810441
Georgia,Saudi Arabia,Import,1102165
Georgia,Saudi Arabia,Re-Export,217448
Georgia,Saudi Arabia,Re-Import,963535
Georgia,United Arab Emirates,Export,27736466
Georgia,United Arab Emirates,Import,191408737
Georgia,United Arab Emirates,Re-Export,21141987
Georgia,United Arab Emirates,Re-Import,2373
