yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,31979,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,197620,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1051412,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,47804,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,188697,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,8186197,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,13214689,21.0000287,57.0036901,,
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Bahrain, Bahrain,18197,21.0000287,57.0036901,,
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,6348,21.0000287,57.0036901,,
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,352202,21.0000287,57.0036901,,
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Qatar, Qatar,108288,21.0000287,57.0036901,,
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,970,21.0000287,57.0036901,,
2021,2021,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,1604278,21.0000287,57.0036901,,
