yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,342354,25.3336984,51.2295295,,
2016,2016,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,21660,25.3336984,51.2295295,,
2016,2016,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,25070,25.3336984,51.2295295,,
2016,2016,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,35209,25.3336984,51.2295295,,
2016,2016,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,53556,25.3336984,51.2295295,,
