yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,7059,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2005,2005,Re-Export,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,17462,21.0000287,57.0036901,,
2005,2005,Re-Export,Oman,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,10403,21.0000287,57.0036901,,
