yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,267467,25.62,42.35,37.977378106878206,73.97804075806764
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,108533,25.62,42.35,,
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,34400,25.62,42.35,43.897683433510366,-100.08947125585888
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,67467,25.62,42.35,6.06272746187266,22.727528470146083
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,120533,25.62,42.35,47.92172048214207,7.866753258497997
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,2504270,25.62,42.35,,
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,290667,25.62,42.35,,
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,41600,25.62,42.35,,
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,97067,25.62,42.35,,
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,77867,25.62,42.35,,
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,97867,25.62,42.35,,
2008,2008,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1122135,25.62,42.35,,
