yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,254124,26.82,18.12,37.977378106878206,73.97804075806764
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,193565,26.82,18.12,,
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,16272,26.82,18.12,17.925141963241547,-78.01492950057497
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,173504,26.82,18.12,43.897683433510366,-100.08947125585888
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,81665,26.82,18.12,59.36075159783851,25.01346951967388
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,57126,26.82,18.12,10.528384761701911,103.08333472012376
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,619519,26.82,18.12,40.12399607988535,20.742583178432696
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,271489,26.82,18.12,,
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,157872,26.82,18.12,26.42921218083572,52.86847103284948
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,879686,26.82,18.12,47.92172048214207,7.866753258497997
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3760026,26.82,18.12,,
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,3416,26.82,18.12,,
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Malta, Malta,158906,26.82,18.12,,
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,37168,26.82,18.12,,
2007,2007,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,8225,26.82,18.12,,
