yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,112714996,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,45258053,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,148225134,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,1759233,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,256540920,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,380167496,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,145127418,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,209426,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,12628618,31.1728205,-7.3362482,25.499703063807168,75.5024015339642
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,52580829,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,11837947,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,5368706,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,57708576,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,198306352,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,1699373970,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,7094253,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Azerbaijan, Azerbaijan,1501867,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,1223,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Djibouti, Djibouti,425,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,8714,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,147,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,69502,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Malta, Malta,140868,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Mauritania, Mauritania,2313041,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,1052,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,10691513,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,13045,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,924185,31.1728205,-7.3362482,,
2011,2011,Export,Morocco,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,47173,31.1728205,-7.3362482,,
