yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,309641,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,19268,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1059273,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,152732,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,11609921,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,204,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,52,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,11467900,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,34326,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,24221675,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,World,World,48938768,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Israel, Israel,751,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,10356,34.9823018,33.1451285,,
2005,2005,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,11281,34.9823018,33.1451285,,
