yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,1220949,31.1667049,36.941628,37.977378106878206,73.97804075806764
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,4113,31.1667049,36.941628,51.67568633314729,27.673469819741847
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,23687,31.1667049,36.941628,,
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,46394,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,59578,31.1667049,36.941628,59.36075159783851,25.01346951967388
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,17284,31.1667049,36.941628,10.528384761701911,103.08333472012376
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,31300,31.1667049,36.941628,40.12399607988535,20.742583178432696
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,78772,31.1667049,36.941628,26.42921218083572,52.86847103284948
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,39104,31.1667049,36.941628,47.92172048214207,7.866753258497997
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,2138434,31.1667049,36.941628,,
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,17001,31.1667049,36.941628,,
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,89875,31.1667049,36.941628,,
2007,2007,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,195510,31.1667049,36.941628,,
