yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2020,2020,Export,Kuwait,World,1,Animals; live,11473470,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,Australia,1,Animals; live,2369,,,-24.7761086,134.755
2020,2020,Export,Kuwait,Bahrain,1,Animals; live,543059,,,26.1551249,50.5344606
2020,2020,Export,Kuwait,Bangladesh,1,Animals; live,15062,,,24.4769288,90.2934413
2020,2020,Export,Kuwait,Canada,1,Animals; live,16379,,,61.0666922,-107.991707
2020,2020,Export,Kuwait,Sri Lanka,1,Animals; live,981,,,7.5554942,80.7137847
2020,2020,Export,Kuwait,China,1,Animals; live,433,,,35.000074,104.999927
2020,2020,Export,Kuwait,Colombia,1,Animals; live,289,,,4.099917,-72.9088133
2020,2020,Export,Kuwait,Denmark,1,Animals; live,327,,,55.670249,10.3333283
2020,2020,Export,Kuwait,Ethiopia,1,Animals; live,289,,,10.2116702,38.6521203
2020,2020,Export,Kuwait,Finland,1,Animals; live,1553,,,63.2467777,25.9209164
2020,2020,Export,Kuwait,Germany,1,Animals; live,653,,,51.1638175,10.4478313
2020,2020,Export,Kuwait,Greece,1,Animals; live,1012,,,38.9953683,21.9877132
2020,2020,Export,Kuwait,Iran,1,Animals; live,30569,,,32.6475314,54.5643516
2020,2020,Export,Kuwait,Iraq,1,Animals; live,25370,,,33.0955793,44.1749775
2020,2020,Export,Kuwait,Ireland,1,Animals; live,330,,,52.865196,-7.9794599
2020,2020,Export,Kuwait,Italy,1,Animals; live,359,,,42.6384261,12.674297
2020,2020,Export,Kuwait,Jordan,1,Animals; live,50161,,,31.1667049,36.941628
2020,2020,Export,Kuwait,Kenya,1,Animals; live,164,,,1.4419683,38.4313975
2020,2020,Export,Kuwait,Rep. of Korea,1,Animals; live,198,,,,
2020,2020,Export,Kuwait,Lebanon,1,Animals; live,3391,,,33.8750629,35.843409
2020,2020,Export,Kuwait,Malaysia,1,Animals; live,7220,,,4.5693754,102.2656823
2020,2020,Export,Kuwait,Maldives,1,Animals; live,3674,,,3.7203503,73.2244152
2020,2020,Export,Kuwait,Mexico,1,Animals; live,327,,,23.6585116,-102.0077097
2020,2020,Export,Kuwait,Morocco,1,Animals; live,2515,,,31.1728205,-7.3362482
2020,2020,Export,Kuwait,Oman,1,Animals; live,32463,,,21.0000287,57.0036901
2020,2020,Export,Kuwait,Netherlands,1,Animals; live,472,,,52.2434979,5.6343227
2020,2020,Export,Kuwait,New Zealand,1,Animals; live,981,,,-41.5000831,172.8344077
2020,2020,Export,Kuwait,"Other Europe, nes",1,Animals; live,326,,,,
2020,2020,Export,Kuwait,Norway,1,Animals; live,98,,,60.5000209,9.0999715
2020,2020,Export,Kuwait,Pakistan,1,Animals; live,654,,,30.3308401,71.247499
2020,2020,Export,Kuwait,Philippines,1,Animals; live,4788,,,12.7503486,122.7312101
2020,2020,Export,Kuwait,Portugal,1,Animals; live,327,,,39.6621648,-8.1353519
2020,2020,Export,Kuwait,Qatar,1,Animals; live,5711304,,,25.3336984,51.2295295
2020,2020,Export,Kuwait,Russian Federation,1,Animals; live,7422,,,64.6863136,97.7453061
2020,2020,Export,Kuwait,Saudi Arabia,1,Animals; live,4069755,,,25.6242618,42.3528328
2020,2020,Export,Kuwait,India,1,Animals; live,3012,,,22.3511148,78.6677428
2020,2020,Export,Kuwait,Singapore,1,Animals; live,165,,,1.357107,103.8194992
2020,2020,Export,Kuwait,South Africa,1,Animals; live,8954,,,-28.8166236,24.991639
2020,2020,Export,Kuwait,Zimbabwe,1,Animals; live,12253,,,,
2020,2020,Export,Kuwait,Spain,1,Animals; live,2066,,,39.3260685,-4.8379791
2020,2020,Export,Kuwait,Switzerland,1,Animals; live,1113,,,46.7985624,8.2319736
2020,2020,Export,Kuwait,Thailand,1,Animals; live,4547,,,14.8971921,100.83273
2020,2020,Export,Kuwait,United Arab Emirates,1,Animals; live,765330,,,24.0002488,53.9994829
2020,2020,Export,Kuwait,Tunisia,1,Animals; live,327,,,33.8439408,9.400138
2020,2020,Export,Kuwait,Turkey,1,Animals; live,327,,,38.9597594,34.9249653
2020,2020,Export,Kuwait,Egypt,1,Animals; live,21006,,,26.2540493,29.2675469
2020,2020,Export,Kuwait,United Kingdom,1,Animals; live,92470,,,54.7023545,-3.2765753
2020,2020,Export,Kuwait,USA,1,Animals; live,26299,,,,
2020,2020,Export,Kuwait,"Areas, nes",1,Animals; live,327,,,,
