yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,214141,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,794546,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,26664,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,110901,34.9823018,33.1451285,19.569604022535763,12.47761721199581
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,47608,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,13008210,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,4081,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,15689884,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,33,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,25405624,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2006,2006,Import,Cyprus,4,Dairy produce; birds eggs; natural honey;,World,World,55311701,34.9823018,33.1451285,,
