yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,185454,29.2733964,47.4979476,-16.85099460447687,133.4130365630627
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,36520,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,8201,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,22986,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,57703,29.2733964,47.4979476,17.925141963241547,-78.01492950057497
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,487786,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,1175359,29.2733964,47.4979476,59.36075159783851,25.01346951967388
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1367580,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,1923777,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,358658,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,5054,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,849287,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1356414,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,World,World,11508454,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,1279,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,506909,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,19740,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,58564,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,29069,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Morocco, Morocco,1797,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,53020,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,18855,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,86822,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,1057171,29.2733964,47.4979476,,
2007,2007,Import,Kuwait,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,333529,29.2733964,47.4979476,,
