yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,15199,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,4522278,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,11891,21.0000287,57.0036901,,
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,270062,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,121862,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,540083,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,254380,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,7135974,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,1505578,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1138156,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,23750406,21.0000287,57.0036901,,
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,104650,21.0000287,57.0036901,,
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,1514874,21.0000287,57.0036901,,
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,74018,21.0000287,57.0036901,,
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,4902,21.0000287,57.0036901,,
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,65095,21.0000287,57.0036901,,
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,5066205,21.0000287,57.0036901,,
2005,2005,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,4190,21.0000287,57.0036901,,
