yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,229126,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,23160,30.3308401,71.247499,37.977378106878206,73.97804075806764
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,3502,30.3308401,71.247499,51.67568633314729,27.673469819741847
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Melanesia,Oceania,4533,30.3308401,71.247499,1.0108650891006263,147.3257485906919
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,669202,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,75957,30.3308401,71.247499,59.36075159783851,25.01346951967388
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,30768,30.3308401,71.247499,10.528384761701911,103.08333472012376
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,355381,30.3308401,71.247499,25.499703063807168,75.5024015339642
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,9698,30.3308401,71.247499,40.12399607988535,20.742583178432696
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,30309,30.3308401,71.247499,6.06272746187266,22.727528470146083
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,4633,30.3308401,71.247499,47.92172048214207,7.866753258497997
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,World,World,45115313,30.3308401,71.247499,,
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Afghanistan, Afghanistan,40750409,30.3308401,71.247499,,
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,166184,30.3308401,71.247499,,
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Iraq, Iraq,2485059,30.3308401,71.247499,,
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,168093,30.3308401,71.247499,,
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,23413,30.3308401,71.247499,,
2004,2004,Export,Pakistan,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,64776,30.3308401,71.247499,,
