yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1549688,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1007103,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,117,32.3293809,-83.1137366,19.569604022535763,12.47761721199581
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,64892,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,292646,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,85843,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,333192,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,549025,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,5538931,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2478016,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2019,2019,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,11957583,32.3293809,-83.1137366,,
