yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1718883,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,3992,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,41540,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,4606,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,46055,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,75845,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1455827,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,15998,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,270099,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,World,World,3890255,40.7696272,44.6736646,,
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Georgia, Georgia,194116,40.7696272,44.6736646,,
2003,2003,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,62935,40.7696272,44.6736646,,
