yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,82604,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,8351948,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,2367259,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,38583,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,378,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,5939,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,1388,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,5926,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,2307403,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,13578243,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Kuwait, Kuwait,6707,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Saudi Arabia, Saudi Arabia,78346,26.1551249,50.5344606,,
2012,2012,Import,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,315904,26.1551249,50.5344606,,
