yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,0,31.17,-7.33,37.977378106878206,73.97804075806764
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,10151,31.17,-7.33,,
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,31,31.17,-7.33,17.925141963241547,-78.01492950057497
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,68,31.17,-7.33,43.897683433510366,-100.08947125585888
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,116,31.17,-7.33,59.36075159783851,25.01346951967388
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,154134,31.17,-7.33,10.528384761701911,103.08333472012376
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,92052,31.17,-7.33,40.12399607988535,20.742583178432696
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,766542,31.17,-7.33,6.06272746187266,22.727528470146083
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,1295,31.17,-7.33,,
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,94903,31.17,-7.33,,
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,6305,31.17,-7.33,47.92172048214207,7.866753258497997
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1645478,31.17,-7.33,,
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,1924,31.17,-7.33,,
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,515950,31.17,-7.33,,
2018,2018,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,746,31.17,-7.33,,
