yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2021,2021,Import,Qatar,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5223880,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Import,Qatar,Brazil,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16638,25.3336984,51.2295295,-10.3333333,-53.2
2021,2021,Import,Qatar,Sri Lanka,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,55693,25.3336984,51.2295295,7.5554942,80.7137847
2021,2021,Import,Qatar,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,101986,25.3336984,51.2295295,35.000074,104.999927
2021,2021,Import,Qatar,Germany,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,357827,25.3336984,51.2295295,51.1638175,10.4478313
2021,2021,Import,Qatar,Italy,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,81169,25.3336984,51.2295295,42.6384261,12.674297
2021,2021,Import,Qatar,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,64678,25.3336984,51.2295295,29.2733964,47.4979476
2021,2021,Import,Qatar,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,107765,25.3336984,51.2295295,21.0000287,57.0036901
2021,2021,Import,Qatar,Netherlands,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,592092,25.3336984,51.2295295,52.2434979,5.6343227
2021,2021,Import,Qatar,Serbia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16691,25.3336984,51.2295295,44.1534121,20.55144
2021,2021,Import,Qatar,India,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,124272,25.3336984,51.2295295,22.3511148,78.6677428
2021,2021,Import,Qatar,Spain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,105443,25.3336984,51.2295295,39.3260685,-4.8379791
2021,2021,Import,Qatar,Sweden,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,161447,25.3336984,51.2295295,59.6749712,14.5208584
2021,2021,Import,Qatar,Switzerland,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,101371,25.3336984,51.2295295,46.7985624,8.2319736
2021,2021,Import,Qatar,United Kingdom,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,34242,25.3336984,51.2295295,54.7023545,-3.2765753
2021,2021,Import,Qatar,USA,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3302561,25.3336984,51.2295295,,
