yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2020,2020.0,Import,Jordan,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1262303891.0,,31.1667049,36.941628,-36.8535712,174.7456809
2020,2020.0,Import,Jordan,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",590.0,,31.1667049,36.941628,-34.9964963,-64.9672817
2020,2020.0,Import,Jordan,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",409138.0,,31.1667049,36.941628,-24.7761086,134.755
2020,2020.0,Import,Jordan,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9221434.0,,31.1667049,36.941628,47.59397,14.12456
2020,2020.0,Import,Jordan,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18218395.0,,31.1667049,36.941628,50.6402809,4.6667145
2020,2020.0,Import,Jordan,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",407614.0,,31.1667049,36.941628,-10.3333333,-53.2
2020,2020.0,Import,Jordan,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19615.0,,31.1667049,36.941628,42.6073975,25.4856617
2020,2020.0,Import,Jordan,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",185302.0,,31.1667049,36.941628,53.4250605,27.6971358
2020,2020.0,Import,Jordan,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",44073.0,,31.1667049,36.941628,12.5433216,104.8144914
2020,2020.0,Import,Jordan,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6192464.0,,31.1667049,36.941628,61.0666922,-107.991707
2020,2020.0,Import,Jordan,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28394.0,,31.1667049,36.941628,7.5554942,80.7137847
2020,2020.0,Import,Jordan,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42163313.0,,31.1667049,36.941628,35.000074,104.999927
2020,2020.0,Import,Jordan,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",371.0,,31.1667049,36.941628,45.5643442,17.0118954
2020,2020.0,Import,Jordan,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",618308.0,,31.1667049,36.941628,49.7439047,15.3381061
2020,2020.0,Import,Jordan,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2232.0,,31.1667049,36.941628,55.670249,10.3333283
2020,2020.0,Import,Jordan,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",323.0,,31.1667049,36.941628,58.7523778,25.3319078
2020,2020.0,Import,Jordan,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",51997.0,,31.1667049,36.941628,63.2467777,25.9209164
2020,2020.0,Import,Jordan,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11162496.0,,31.1667049,36.941628,46.603354,1.8883335
2020,2020.0,Import,Jordan,State of Palestine,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",39160.0,,31.1667049,36.941628,31.46242095,34.262716572130714
2020,2020.0,Import,Jordan,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",185705658.0,,31.1667049,36.941628,51.1638175,10.4478313
2020,2020.0,Import,Jordan,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",91301.0,,31.1667049,36.941628,38.9953683,21.9877132
2020,2020.0,Import,Jordan,Guatemala,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13930.0,,31.1667049,36.941628,15.5855545,-90.345759
2020,2020.0,Import,Jordan,Haiti,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8809.0,,31.1667049,36.941628,19.1399952,-72.3570972
2020,2020.0,Import,Jordan,Honduras,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2909.0,,31.1667049,36.941628,15.2572432,-86.0755145
2020,2020.0,Import,Jordan,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7156.0,,31.1667049,36.941628,22.350627,114.1849161
2020,2020.0,Import,Jordan,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",450764.0,,31.1667049,36.941628,47.1817585,19.5060937
2020,2020.0,Import,Jordan,Indonesia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3598021.0,,31.1667049,36.941628,-2.4833826,117.8902853
2020,2020.0,Import,Jordan,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",36249.0,,31.1667049,36.941628,32.6475314,54.5643516
2020,2020.0,Import,Jordan,Ireland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",93383.0,,31.1667049,36.941628,52.865196,-7.9794599
2020,2020.0,Import,Jordan,Israel,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",342870.0,,31.1667049,36.941628,30.8124247,34.8594762
2020,2020.0,Import,Jordan,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4110450.0,,31.1667049,36.941628,42.6384261,12.674297
2020,2020.0,Import,Jordan,Jamaica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21661.0,,31.1667049,36.941628,18.1850507,-77.3947693
2020,2020.0,Import,Jordan,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",210115468.0,,31.1667049,36.941628,36.5748441,139.2394179
