yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,7440,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,113522,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,233101,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,12403,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,2562,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,208143,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,60376,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,296234,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,1005818,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4779,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,594801,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1906,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,10358,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,World,World,6658974,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Afghanistan, Afghanistan,9218,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Armenia, Armenia,10444,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Azerbaijan, Azerbaijan,1133,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,112017,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Djibouti, Djibouti,17582,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,290917,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,2631,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,84508,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,42928,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Libya, Libya,109230,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Mauritania, Mauritania,2000,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,383757,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,906529,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,184147,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,97403,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,517759,24.0002488,53.9994829,,
