yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,123000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,15000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,162000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,352000,30.8124247,34.8594762,,
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,32000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,1129000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,18000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,4000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,62000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,68000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,22000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,2012000,30.8124247,34.8594762,,
2011,2011,Export,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Jordan, Jordan,18000,30.8124247,34.8594762,,
