yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,2829,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,244051,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,1001,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,334,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,513,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,611864,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,365018,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1734813,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,3210208,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,942540,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin,World,World,16491540,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Armenia, Armenia,82754,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,18679,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,19477,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,192682,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,10038,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,2911073,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,2246586,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,546811,16.3471243,47.8915271,,
2007,2007,Import,Yemen,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,2715556,16.3471243,47.8915271,,
