yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Oman,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,58455,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2005,2005,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,644928,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2005,2005,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,14331161,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2005,2005,Export,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,24059670,21.0000287,57.0036901,,
