yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,278,31.17,-7.33,37.977378106878206,73.97804075806764
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,1218855,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,897741,31.17,-7.33,17.925141963241547,-78.01492950057497
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,803783,31.17,-7.33,10.528384761701911,103.08333472012376
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,30944962,31.17,-7.33,6.06272746187266,22.727528470146083
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,20955883,31.17,-7.33,26.42921218083572,52.86847103284948
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,871,31.17,-7.33,47.92172048214207,7.866753258497997
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,135762960,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,786,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,1264031,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,5147426,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,5545139,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,1132902,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,37409979,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,1106915,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,5552042,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,819262,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,3101475,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,7410769,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,2722359,31.17,-7.33,,
2014,2014,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,9650870,31.17,-7.33,,
