yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Re-Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,28598,26.1551249,50.5344606,,
2010,2010,Re-Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,5043,26.1551249,50.5344606,,
2010,2010,Re-Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,11809,26.1551249,50.5344606,,
2010,2010,Re-Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,11747,26.1551249,50.5344606,,
