yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,66400,40.3936294,47.7872508,25.499703063807168,75.5024015339642
2009,2009,Export,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,3494832,40.3936294,47.7872508,,
2009,2009,Export,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Georgia, Georgia,3419229,40.3936294,47.7872508,,
2009,2009,Export,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,8008,40.3936294,47.7872508,,
2009,2009,Export,Azerbaijan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,1195,40.3936294,47.7872508,,
