yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1003,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1003,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,903,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,551699,25.3336984,51.2295295,,
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,115386,25.3336984,51.2295295,,
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,9495,25.3336984,51.2295295,,
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Mauritania, Mauritania,13736,25.3336984,51.2295295,,
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,6144,25.3336984,51.2295295,,
2006,2006,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,404029,25.3336984,51.2295295,,
