yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,466
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,226769
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,297094
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,246938
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1071815
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,8090
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,60143
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,231771
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1781076
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,611975
2013,2013,Import,Azerbaijan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4592543
