yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,31663540,,,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,Angola,35,Albuminoidal substances; modified starches; glues; enzymes,344841,,,-11.8775768,17.5691241
2016,2016,Export,Saudi Arabia,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,1674334,,,26.1551249,50.5344606
2016,2016,Export,Saudi Arabia,Colombia,35,Albuminoidal substances; modified starches; glues; enzymes,33070,,,4.099917,-72.9088133
2016,2016,Export,Saudi Arabia,Guinea,35,Albuminoidal substances; modified starches; glues; enzymes,28536,,,10.7226226,-10.7083587
2016,2016,Export,Saudi Arabia,Iraq,35,Albuminoidal substances; modified starches; glues; enzymes,299235,,,33.0955793,44.1749775
2016,2016,Export,Saudi Arabia,Italy,35,Albuminoidal substances; modified starches; glues; enzymes,84543,,,42.6384261,12.674297
2016,2016,Export,Saudi Arabia,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,2494166,,,31.1667049,36.941628
2016,2016,Export,Saudi Arabia,Kenya,35,Albuminoidal substances; modified starches; glues; enzymes,92811,,,1.4419683,38.4313975
2016,2016,Export,Saudi Arabia,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,3870331,,,29.2733964,47.4979476
2016,2016,Export,Saudi Arabia,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,1520449,,,33.8750629,35.843409
2016,2016,Export,Saudi Arabia,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,162686,,,31.1728205,-7.3362482
2016,2016,Export,Saudi Arabia,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,1130002,,,21.0000287,57.0036901
2016,2016,Export,Saudi Arabia,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,715552,,,30.3308401,71.247499
2016,2016,Export,Saudi Arabia,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,2055713,,,25.3336984,51.2295295
2016,2016,Export,Saudi Arabia,India,35,Albuminoidal substances; modified starches; glues; enzymes,160285,,,22.3511148,78.6677428
2016,2016,Export,Saudi Arabia,South Africa,35,Albuminoidal substances; modified starches; glues; enzymes,1789281,,,-28.8166236,24.991639
2016,2016,Export,Saudi Arabia,Spain,35,Albuminoidal substances; modified starches; glues; enzymes,34404,,,39.3260685,-4.8379791
2016,2016,Export,Saudi Arabia,Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,63207,,,14.5844444,29.4917691
2016,2016,Export,Saudi Arabia,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,760624,,,34.6401861,39.0494106
2016,2016,Export,Saudi Arabia,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,3789255,,,24.0002488,53.9994829
2016,2016,Export,Saudi Arabia,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,65874,,,38.9597594,34.9249653
2016,2016,Export,Saudi Arabia,Egypt,35,Albuminoidal substances; modified starches; glues; enzymes,8271394,,,26.2540493,29.2675469
2016,2016,Export,Saudi Arabia,United Rep. of Tanzania,35,Albuminoidal substances; modified starches; glues; enzymes,28536,,,,
2016,2016,Export,Saudi Arabia,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,2194397,,,16.3471243,47.8915271
