yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,9247941,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,30985,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,86327,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,12752,25.3336984,51.2295295,19.569604022535763,12.47761721199581
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,758686,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,216050,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,527993,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,292948,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,72688,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,70734,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,157550,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,741530,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2006,2006,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,World,World,24426865,25.3336984,51.2295295,,
