yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",439326,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",823069,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",186669,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1241599,,,-36.8535712,174.7456809
2016,2016,Import,Kuwait,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",807473787,,,-36.8535712,174.7456809
2018,2018,Import,Kuwait,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1084680879,,,-36.8535712,174.7456809
2019,2019,Import,Kuwait,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",899667028,,,-36.8535712,174.7456809
2020,2020,Import,Kuwait,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",907263279,,,-36.8535712,174.7456809
2016,2016,Import,Oman,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",373188018,,,-36.8535712,174.7456809
2018,2018,Import,Oman,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",507752586,,,-36.8535712,174.7456809
2019,2019,Import,Oman,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",469413419,,,-36.8535712,174.7456809
2020,2020,Import,Oman,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",486844965,,,-36.8535712,174.7456809
2021,2021,Import,Oman,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",460991757,,,-36.8535712,174.7456809
2016,2016,Import,Qatar,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",572608942,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Import,Qatar,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",566287808,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Import,Qatar,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",579604616,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Import,Qatar,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",562076657,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Import,Qatar,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",587948841,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Import,Qatar,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",635056962,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2932318065,,,-36.8535712,174.7456809
2018,2018,Import,Saudi Arabia,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",3565365167,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",3765253562,,,-36.8535712,174.7456809
2020,2020,Import,Saudi Arabia,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",3742323833,,,-36.8535712,174.7456809
2016,2016,Import,Turkey,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",4747435895,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Import,Turkey,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",5132540878,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Turkey,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",4807051673,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Import,Turkey,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",4505106939,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Import,Turkey,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",4882582463,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Yemen,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",7757690,,,-36.8535712,174.7456809
2019,2019,Import,Yemen,World,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",12835590,,,-36.8535712,174.7456809
