yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1130285,31.46242095,34.262716572130714,37.977378106878206,73.97804075806764
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,12030,31.46242095,34.262716572130714,51.67568633314729,27.673469819741847
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,22535,31.46242095,34.262716572130714,,
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,48133,31.46242095,34.262716572130714,17.925141963241547,-78.01492950057497
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Micronesia,Oceania,43,31.46242095,34.262716572130714,6.418559504495792,157.6364476938912
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,22657,31.46242095,34.262716572130714,43.897683433510366,-100.08947125585888
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,22638,31.46242095,34.262716572130714,59.36075159783851,25.01346951967388
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,13819,31.46242095,34.262716572130714,10.528384761701911,103.08333472012376
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,737368,31.46242095,34.262716572130714,40.12399607988535,20.742583178432696
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1169596,31.46242095,34.262716572130714,26.42921218083572,52.86847103284948
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,682544,31.46242095,34.262716572130714,47.92172048214207,7.866753258497997
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,10536693,31.46242095,34.262716572130714,,
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,6192332,31.46242095,34.262716572130714,,
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,397054,31.46242095,34.262716572130714,,
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,40,31.46242095,34.262716572130714,,
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,36402,31.46242095,34.262716572130714,,
2019,2019,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,6,31.46242095,34.262716572130714,,
