yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,32,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,57609,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,20917,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,6807,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,1275,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,2874,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,100502,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,436,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1002027,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,2022890,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,1276948,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,103,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,11460,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,World,World,8332892,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Afghanistan, Afghanistan,22734,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Algeria, Algeria,18518,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Armenia, Armenia,1852,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Azerbaijan, Azerbaijan,44896,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,150537,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,27,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,70354,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,508422,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,42735,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,147076,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,1737,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,39828,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,1834455,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,44697,24.0002488,53.9994829,,
2003,2003,Re-Export,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,690372,24.0002488,53.9994829,,
