yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2019,2019.0,Export,Malta,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3444557.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2019,2019.0,Export,Malta,Algeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",71566.0,,35.8885993,14.4476911,28.0000272,2.9999825
2019,2019.0,Export,Malta,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",34492.0,,35.8885993,14.4476911,-24.7761086,134.755
2019,2019.0,Export,Malta,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1118.0,,35.8885993,14.4476911,4.6125522,13.1535811
2019,2019.0,Export,Malta,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3986.0,,35.8885993,14.4476911,61.0666922,-107.991707
2019,2019.0,Export,Malta,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",132059.0,,35.8885993,14.4476911,35.000074,104.999927
2019,2019.0,Export,Malta,Congo,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6376.0,,35.8885993,14.4476911,-2.9814344,23.8222636
2019,2019.0,Export,Malta,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",81.0,,35.8885993,14.4476911,46.603354,1.8883335
2019,2019.0,Export,Malta,Gambia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2237.0,,35.8885993,14.4476911,13.470062,-15.4900464
2019,2019.0,Export,Malta,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",589.0,,35.8885993,14.4476911,51.1638175,10.4478313
2019,2019.0,Export,Malta,Ghana,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27309.0,,35.8885993,14.4476911,8.0300284,-1.0800271
2019,2019.0,Export,Malta,Gibraltar,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",368.0,,35.8885993,14.4476911,36.1285933,-5.3474761
2019,2019.0,Export,Malta,Guatemala,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",62650.0,,35.8885993,14.4476911,15.5855545,-90.345759
2019,2019.0,Export,Malta,Iceland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",969.0,,35.8885993,14.4476911,64.9841821,-18.1059013
2019,2019.0,Export,Malta,Israel,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6010.0,,35.8885993,14.4476911,30.8124247,34.8594762
2019,2019.0,Export,Malta,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19374.0,,35.8885993,14.4476911,42.6384261,12.674297
2019,2019.0,Export,Malta,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",133174.0,,35.8885993,14.4476911,36.5748441,139.2394179
2019,2019.0,Export,Malta,Kuwait,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",103866.0,,35.8885993,14.4476911,29.2733964,47.4979476
2019,2019.0,Export,Malta,Liberia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",71600.0,,35.8885993,14.4476911,5.7499721,-9.3658524
2019,2019.0,Export,Malta,Libya,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",331880.0,,35.8885993,14.4476911,26.8234472,18.1236723
2019,2019.0,Export,Malta,Malaysia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",63440.0,,35.8885993,14.4476911,4.5693754,102.2656823
2019,2019.0,Export,Malta,Mali,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",762.0,,35.8885993,14.4476911,16.3700359,-2.2900239
2019,2019.0,Export,Malta,Mauritania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",94419.0,,35.8885993,14.4476911,20.2540382,-9.2399263
