rtTitle,Subregion,rgDesc,TradeValue
Israel,Afghanistan,Import,156000
Israel,Armenia,Export,20378000
Israel,Armenia,Import,13527000
Israel,Azerbaijan,Export,5548000
Israel,Azerbaijan,Import,141000
Israel,Bahrain,Export,7000
Israel,Bahrain,Import,5000
Israel,Cyprus,Export,171967000
Israel,Cyprus,Import,26346000
Israel,Djibouti,Export,1144000
Israel,Georgia,Export,4405000
Israel,Georgia,Import,753000
Israel,Jordan,Export,52409000
Israel,Jordan,Import,41913000
Israel,Kuwait,Export,423000
Israel,Kuwait,Import,129000
Israel,Lebanon,Export,431000
Israel,Lebanon,Import,37000
Israel,Malta,Export,21124000
Israel,Malta,Import,4495000
Israel,Mauritania,Export,55000
Israel,Mauritania,Import,68000
Israel,Morocco,Export,9957000
Israel,Morocco,Import,885000
Israel,Oman,Export,285000
Israel,Pakistan,Export,456000
Israel,Pakistan,Import,3700000
Israel,Qatar,Export,73000
Israel,Saudi Arabia,Export,1899000
Israel,United Arab Emirates,Export,589000
Israel,World,Export,28962066000
Israel,World,Import,33170450000
