yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1640,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,13754,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,402,35.8885993,14.4476911,25.499703063807168,75.5024015339642
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,1408,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,54112,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,900772,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,35124,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,1094,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Djibouti, Djibouti,643,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,5972,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,1798,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,3429,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,30461,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,3285,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Libya, Libya,6990,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,12427,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,40888,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,567206,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,116394,35.8885993,14.4476911,,
2007,2007,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,3745,35.8885993,14.4476911,,
