yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,8810986,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,30365,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,322,28.0000272,2.9999825,,
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,75380,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,2562,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,1212,28.0000272,2.9999825,25.499703063807168,75.5024015339642
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,1587427,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,1554328,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,1223951,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,16536642,28.0000272,2.9999825,,
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Lebanon, Lebanon,1046,28.0000272,2.9999825,,
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Morocco, Morocco,63336,28.0000272,2.9999825,,
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Pakistan, Pakistan,64506,28.0000272,2.9999825,,
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,240,28.0000272,2.9999825,,
2011,2011,Import,Algeria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,6862,28.0000272,2.9999825,,
