yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,786476
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,3169340
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,282246
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,37949970
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,224544
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,201503
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,7
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,5644290
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,220460
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,2136197
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,557091
2005,2005,Import,Azerbaijan,25,Salt; sulfur; earths and stone; plastering materials,World,World,71762924
