yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,505216,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,34648,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,302566,16.3471243,47.8915271,,
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,3839,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,116252,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,328307,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Polynesia,Oceania,46265,16.3471243,47.8915271,-5.109184731250752,167.40343615892436
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,28349,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,11875,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,331691,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,210340,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,207193,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4363327,16.3471243,47.8915271,,
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,887,16.3471243,47.8915271,,
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,49213,16.3471243,47.8915271,,
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,1879,16.3471243,47.8915271,,
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,3345,16.3471243,47.8915271,,
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,1239041,16.3471243,47.8915271,,
2009,2009,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,117726,16.3471243,47.8915271,,
