yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,8010,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,540253,21.0000287,57.0036901,,
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,30757,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,260,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,26,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,38632,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,780,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,World,World,950947,21.0000287,57.0036901,,
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,262830,21.0000287,57.0036901,,
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,4031,21.0000287,57.0036901,,
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,315,21.0000287,57.0036901,,
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,260,21.0000287,57.0036901,,
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,1092,21.0000287,57.0036901,,
2009,2009,Re-Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,28354,21.0000287,57.0036901,,
