yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,rtLat,rtLon,ptLat_export,ptLon_export,mid,TradeValue_import,ptLat_import,ptLon_import
2019.0,2019.0,Export,Saudi Arabia,World,1.0,Animals; live,44545953.0,,,-36.8535712,174.7456809,12019Saudi Arabia,731821593.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,2.0,Meat and edible meat offal,135947084.0,,,-36.8535712,174.7456809,22019Saudi Arabia,1939383005.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,3.0,"Fish and crustaceans, molluscs and other aquatic invertebrates",140630656.0,,,-36.8535712,174.7456809,32019Saudi Arabia,441870156.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1113480408.0,,,-36.8535712,174.7456809,42019Saudi Arabia,1921938053.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,5.0,Animal originated products; not elsewhere specified or included,222411.0,,,-36.8535712,174.7456809,52019Saudi Arabia,7439735.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,6.0,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",9993114.0,,,-36.8535712,174.7456809,62019Saudi Arabia,85477034.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,7.0,Vegetables and certain roots and tubers; edible,29796223.0,,,-36.8535712,174.7456809,72019Saudi Arabia,608060317.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,8.0,"Fruit and nuts, edible; peel of citrus fruit or melons",244261309.0,,,-36.8535712,174.7456809,82019Saudi Arabia,1623057250.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,9.0,"Coffee, tea, mate and spices",16870583.0,,,-36.8535712,174.7456809,92019Saudi Arabia,937382944.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,10.0,Cereals,37775.0,,,-36.8535712,174.7456809,102019Saudi Arabia,2810541639.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,11.0,"Products of the milling industry; malt, starches, inulin, wheat gluten",10409883.0,,,-36.8535712,174.7456809,112019Saudi Arabia,203806472.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,12.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1192403.0,,,-36.8535712,174.7456809,122019Saudi Arabia,911392261.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Saudi Arabia,World,13.0,"Lac; gums, resins and other vegetable saps and extracts",4158415.0,,,-36.8535712,174.7456809,132019Saudi Arabia,59658845.0,-36.8535712,174.7456809
